"Name","Country","Continent","Description","Category","Origins"
"Temple of Angkor","Cambodia","Asia","Hindu Heaven on Earth","Religion","Man-made"
"Great Barrier Reef","Australia","Oceania","Oz's Underwater Wonderland","Wildlife","Natural"
"Machu Picchu","Peru","South America","Incan Enigma","Historical Site","Man-made"
"Great Wall of China","China","Asia","What a Wall!","Historical Site","Man-made"
"Taj Mahal","India","Asia","Magnificent Mughal Masterpiece","Palace/Castle","Man-made"
"Grand Canyon National Park","USA","North America","Nature's Ultimate showstopper","Geological Feature","Natural"
"Colosseum","Italy","Europe","Bloody Romans","Historical Site","Man-made"
"Iguazu Falls","Brazil/Argentina","South America","Thunderous white-water thrills","Water Feature","Natural"
"Alhambra","Spain","Europe","Spain's Moorish Masterpiece","Palace/Castle","Man-made"
"Aya Sofya","Turkey","Asia","A Fusion of Faiths","Religion","Man-made"
"Fez Medina ","Morocco","Africa","Labyrinthine Milllenia-old Wall","District/Square","Man-made"
"Twelve Apostles","Australia","Oceania","Sea spires","Geological Feature","Natural"
"Petra","Jordan","Asia","Better than Indiana Jones","Historical Site","Man-made"
"Tikal","Guatemala","North America","Walk in Ancient Majesty","Historical Site","Man-made"
"British Musuem ","England","Europe","London's Other Crown Jewels","Musuem","Man-made"
"Sagrada Familia","Spain","Europe","Spain's Iconic Modernista Masterpiece","Religion","Man-made"
"Fiorland National Park","New Zealand","Oceania","Epic World Heritage wilderness","Nature Landscape","Natural"
"Santorini","Greece","Europe","Black-eyed Beauty","Modern Attractions","Man-made"
"Galapagos Islands","Ecuador","South America","Where The Wild Things Are","Wildlife","Natural"
"Musuem of Old & New Art","Australia","Oceania","Art at the End of the World","Musuem","Man-made"
"Yosemite National Park","USA","North America","Rockin' It","Nature Landscape","Natural"
"Dubrovnik Old City Walls","Croatia","Europe","Battlement Beauty","Palace/Castle","Man-made"
"Salar de Uyuni","Bolivia","South America","Salt of the Earth","Nature Landscape","Natural"
"Bagan","Myanmar","Asia","The Jewel in Myanmar's Crown","Religion","Man-made"
"Pyramid of Gizas","Egypt","Africa","The Ancient Wonder","Historical Site","Man-made"
"Piazza San Marco","Italy","Europe","Attitude & Ambience","District/Square","Man-made"
"Victoria Falls","Zimbabwe/Zambia","Africa","Thundering Waters","Water Feature","Natural"
"Acropolis","Greece","Europe","Greek Classics","Historical Site","Man-made"
"Chateay de Versailles","France","Europe","France's Grandest Chateau","Palace/Castle","Man-made"
"Djemaa el-Fna","Morocco","Africa","Where Street Theatre Thrives","District/Square","Man-made"
"Hanoi Old Quarter","Vietnam","Asia","Multiculutral Melting Pot","District/Square","Man-made"
"Cradle Mountain","Australia","Oceania","Natural" Tasmanian Splendour","Geological Feature","Natural"
"Uluru","Australia","Oceania","Kaleidoscopic Desert Skyscraper","Geological Feature","Natural"
"Charles Bridge","Czech Republic","Europe","Bridge Across Time","Historical Site","Man-made"
"Abel Tasman National Park","New Zealand","Oceania","Nature's Costal Playground","Water Feature","Natural"
"Lake District National Park","England","Europe","England's Poetic Wilderness","Nature Landscape","Natural"
"Louvre","France","Europe","Epic Art House","Musuem","Man-made"
"Torres del Paine","Chile","South America","Hiking-lover's Paradise","Nature Landscape","Natural"
"Lake Baikal","Russia","Asia","Siberia's Astonishing Abyss","Water Feature","Natural"
"Eiffel Tower","France","Europe","The Ultimate French Taste","Modern Attractions","Man-made"
"Pompeii","Italy","Europe","Behold The Earth's Ruby","Historical Site","Man-made"
"Habana Vieja","Cuba","North America","Crumbling Colonial Splendour","District/Square","Man-made"
"Table Mountain","South Africa","Africa","Tabletop Capers","Geological Feature","Natural"
"Old Town Square","Czech Republic","Europe","Prague's Clockwork Heart","District/Square","Man-made"
"Serengeti National Park","Tanzania","Africa","The Wildlife Show","Wildlife","Natural"
"Hermitage","Russia","Europe","Russia's Treasure Box","Musuem","Man-made"
"Bay of Kotor","Montenegro","Europe","Seaside Mountain Majesty","Water Feature","Man-made"
"Jaisamlmer","India","Asia","Leave other Desert Forts in the Shade","Palace/Castle","Man-made"
"Ngorongoro Crater","Tanzania","Africa","Dizzying Wildlife Concretrations","Wildlife","Natural"
"Hiroshima Peace Memorial Park","Japan","Asia","A Moving Testament to World Peace","Historical Site","Man-made"
"Pantheon","Italy","Europe","What a Roman Relic!","Historical Site","Man-made"
"Tate Modern","England","Europe","Modern Art Monolith","Musuem","Man-made"
"Naqsh e-Jahan","Iran","Asia","Persian Perfection","Religion","Man-made"
"Tiger Leaping Gorge","China","Asia","Trails Craved through Time","Geological Feature","Natural"
"Notre-Dame","France","Europe","Holy Heart of Paris","Religion","Man-made"
"Kakadu National Park","Australia","Oceania","Tropical Timewarp","Nature Landscape","Natural"
"Sydney Opera House","Australia","Oceania","Singing Sails","Modern Attractions","Man-made"
"Edinburgh Castle","Scotland","Europe",""Tall"," Dark and Handsome Castle"","Palace/Castle","Man-made"
"Anne Frank Huis","Netherlands","Europe","Haunting History","Historical Site","Man-made"
"Jokulsarlon","Iceland","Europe","Luminous Iceberg Lagoon","Water Feature","Natural"
"Yellowstone National Park","USA","North America","One Stemaing Great Wilderness","Geological Feature","Natural"
"Stonehenge","England","Europe","Prehistoric Puzzle","Historical Site","Man-made"
"Berlin Wall","Germany","Europe","The Fallen Cold-War Barrier","Historical Site","Man-made"
"Isle of Skye","Scotland","Europe","Magical Island","Nature Landscape","Natural"
"Halong Bay","Vietnam","Asia","Karst Wonder World","Geological Feature","Natural"
"Duomo Santa Maria di Fiore","Italy","Europe","Renaissance revisited","Religion","Man-made"
"Koh Tao","Thailand","Asia","Diver's Paradise","Adventure/Activity","Natural"
"Cappadocia","Turkey","Asia","Cave Dwelling on the Moon","Geological Feature","Natural"
"Palenque","Mexico","North America","Pyramid Perfection","Historical Site","Man-made"
"Ilulissat Kangerlua","Greenland","North America","Bus-Sized 'Berg Floating on a Bay","Water Feature","Natural"
"Mt Sinai","Egypt","Africa","Moses' Spectacular Mount","Religion","Natural"
"Pao de Acucar","Brazil","South America","On Top of the World","Geological Feature","Natural"
"Mezquita","Spain","Europe","Worlds Collide in Cordoba","Religion","Man-made"
"Lalibela","Ethiopia","Africa","Africa's Subterranean City","Religion","Man-made"
"Lake Bled","Slovenia","Europe","Picture-perfect Lakeside Setting","Water Feature","Natural"
"Arashiyama's Bamboo Grove","Japan","Asia","Magical Nature","Nature Landscape","Natural"
"Redwood National Park","USA","North America","Natural" Californian Cathedrals","Nature Landscape","Natural"
"Chichen Itza","Mexico","North America","A New Wonder of the World","Historical Site","Man-made"
"Masai Mara National Reserve","Kenya","Africa","Killer African Wildlife","Wildlife","Natural"
"Metropolitan Musuem of Art","USA","North America","State of the Art","Musuem","Man-made"
"Franz Josef & Fox Glacier ","New Zealand","Oceania","Ice Dreams","Water Feature","Natural"
"Valley of the Kings","Egypt","Africa","Tomb Raider's Treasures","Historical Site","Man-made"
"Hoi An Old Town","Vietnam","Asia","Old-world Charm","District/Square","Man-made"
"Monument Valley","USA","North America","Sandstone Fantasyland","Geological Feature","Natural"
"St Peter's Basilica","Italy","Europe","Opulent Papal Monument","Religion","Man-made"
"Dome of the Rock","Israel","Asia","Prescious Symiol of Faith","Religion","Man-made"
"Red Square","Russia","Europe","Russia's Heart & Histroical Soul","District/Square","Man-made"
"Forbidden City","China","Asia","Legendary Dynastic Intrigue","Palace/Castle","Man-made"
"The Uffizi","Italy","Asia","Renaissance revisited","Musuem","Man-made"
"Everest Base Camp","Nepal","Asia","The Top of the World","Geological Feature","Natural"
"Shwedagon Paya","Myanmar","Asia","All that glitters...","Religion","Man-made"
"The Pyramid of Teotihuacan","Mexico","North America","Ancient Civilisation with Mystical Energies","Religion","Man-made"
"Blue Lagoon","Iceland","Europe","Geothermal Disneyland","Water Feature","Natural"
"Lake Wanka","New Zealand","Oceania","Gateway to Greatness","Water Feature","Natural"
"Abu Simbel","Egypt","Africa",""Ancient Colossals"," Modern Marvel"","Historical Site","Man-made"
"Cimetiere Du Pere Lachaise","France","Europe","Paris's Great Beyond","Religion","Man-made"
"Big Sur","USA","North America","Wilderness Unplugged","Water Feature","Natural"
"Matterhorn","Switzerland","Europe",""The Alps' Dark"," Brooding Beauty"","Geological Feature","Natural"
"Galma Stan","Sweden","Europe","Stockholm's Time Capsule","District/Square","Man-made"
"Okavanga Delta","Botswana","Africa","Wonderful Water World","Wildlife","Natural"
"Golden Gate Bridge","USA","North America","An Icon on the Way","Modern Attractions","Man-made"
"Dashashwamedh Ghat","India","Asia","Holiest of Holy Sites","Religion","Man-made"
"Gaint's Causeway","Northren Ireland","Europe","Rock Solid","Geological Feature","Natural"
"Auschwitz-Birkenau","Poland","Europe","Haunting Holocaust Memorial","Historical Site","Man-made"
"Parque Nacional Corcovado","Costa Rica","North America","Bastion of Biodiversity","Wildlife","Natural"
"Niagra Falls","Canada","North America","A Thunderous Force of Nature","Water Feature","Natural"
"Potala Palace","Tibet","Asia",""Palatial"," Poignant"," Profound"","Religion","Man-made"
"Bora Bora","French Polynesia","Oceania","Dreamlike Lagoon Paradise","Water Feature","Natural"
"Empire State Building","USA","North America","Tall Storeys","Modern Attractions","Man-made"
"Budapest's Thermal Bath","Hungary","Europe","Cleanliness is Next to...","Adventure/Activity","Man-made"
"Topkapi Palace","Turkey","Asia","Ostentatious Ottomon Palace","Palace/Castle","Man-made"
"Tallinn Old Town","Estonia","Europe","Medieval Jewel of Estonia","District/Square","Man-made"
"Stari Most","Bosnia-Herzegovina","Europe","A Bridge for Peace","Modern Attractions","Man-made"
"Ayuthaya","Thailand","Asia","Crumbling Chedi Complex","Historical Site","Man-made"
"Vatican Musuem","Italy","Europe","Famous Frescoed Chapel","Musuem","Man-made"
"Anakena Beach","Chile","South America","Sunbathing with Statues","Water Feature","Natural"
"The Peak","China","Asia","Keeping a Cool Head","Geological Feature","Natural"
"St Paul's Cathedral","England","Europe","Christopher Wren's Thames-side Marvel","Religion","Man-made"
"Meteora","Greece","Europe","Saintly Stony Pillars","Geological Feature","Natural"
"Confucius Temple","China","Asia","Lavish Alter to the Great Teacher","Religion","Man-made"
"Copper Canyon","Mexico","North America","River Deep Mountain High","Geological Feature","Natural"
"Aiguille du Midi","France","Europe","360-degree Alps View","Geological Feature","Natural"
"Cerro Fitz Roy","Argentina","South America","Patagonia's Peak of Fire","Geological Feature","Natural"
"Bryggen","Norway","Europe","Echanting Historic Wharf Community","District/Square","Man-made"
"Steward Island","New Zealand","Oceania","Home of the Kiwi","Nature Landscape","Natural"
"Durbar Square ","Nepal","Asia",""Beautiful"," Time Warped Musuem"","District/Square","Man-made"
"Bazaruto Archipelago","Mozambique","Africa","Aquatic Beach Bonaza","Water Feature","Natural"
"Plitvice Lakes National Park","Croatia","Europe","Striking Turquoise Water World","Water Feature","Natural"
"Prinsengracht Canal","Netherlands","Europe","Princely Waterway Pulsing with Life","Water Feature","Man-made"
"Bay of Islands","New Zealand","Oceania","The Life Aquatic","Water Feature","Natural"
"Pantanal","Brazil","South America","Wondrous Wildlife-rich Wetlands","Wildlife","Natural"
"Daibutsu of Nara","Japan","Asia","Impressive Bronze Bearer of Enlightenment","Religion","Man-made"
"National Musuem of Anthropology","Mexico","North America","Mexico's Most Visited Musuem","Musuem","Man-made"
"Skara Brae","Scotland","Europe","Prehistoric Village Frozen in Time","Historical Site","Man-made"
"Geirangerfjord","Norway","Europe","Ultimate Fjord-Meandering Ferry Ride","Nature Landscape","Natural"
"Tayrona National Park","Colombia","South America","Caribbean Camping","Water Feature","Natural"
"Choquequirao","Peru","South America","The Untrammelled Inca Trail","Historical Site","Man-made"
"Ephesus","Turkey","Asia","A Greco-Roman Wonder in Turkey","Historical Site","Man-made"
"Kruger National Park","South Africa","Africa","Unique Wildlife Exprience","Wildlife","Natural"
"Tulum","Mexico","North America","Maya Beauty Queen","Historical Site","Man-made"
"Tsukiji Market","Japan","Asia","Behind-the-scenes Toyko","District/Square","Man-made"
"Sintra","Portugal","Europe","Stupendously Silly Castle Craziness","Palace/Castle","Man-made"
"Carcasonne Castle","France","Europe","Fairy-tale French Castle","Palace/Castle","Man-made"
"Statue of Liberty & Ellis Island","USA","North America","Welcome to America","Modern Attractions","Man-made"
"Vatnajokull National Park","Iceland","Europe","Fire & Ice Megapark","Nature Landscape","Man-made"
"Blue Mosque","Turkey","Asia","Istanbul's Show Stopper","Religion","Man-made"
"Gion District","Japan","Asia","Memories of a Geisha","District/Square","Man-made"
""Grand Buddha"," Leshan"","China","Asia","Is that a Buddha?","Religion","Man-made"
"Actun Tunichil Muknal","Belize","North America","Sacred Cave","Geological Feature","Natural"
"Haida Gwaii","Canada","North America","Lost World of Haida Culture","Nature Landscape","Natural"
"Bairro of Ribeira","Portugal","Europe","A Magical Medeval Waterfront","District/Square","Man-made"
"Koya-san","Japan","Asia","A Religous Exprience","Religion","Man-made"
"Mt Etna","Italy","Europe","Smoking Sicily","Geological Feature","Natural"
"Eiger","Switzerland","Europe","Infamous Alpine Orge","Geological Feature","Natural"
"Walt Disney World","USA","North America","The World's Happy Place","Adventure/Activity","Man-made"
"Chernobyl","Ukraine","Europe","Tour the Apocalypse","Adventure/Activity","Man-made"
"Shibuya Crossing","Japan","Asia","An Elegant Scramble","District/Square","Man-made"
"Valle de Vinales","Cuba","North America","Cuba's Hidden Valley","Nature Landscape","Natural"
"Schloss Neuschwanstien","Germany","Europe","Bavaria's Fairy-tale Made Flesh","Palace/Castle","Man-made"
"Terracotta Warriors","China","Asia","Slient Ceramic Sentinels","Historical Site","Man-made"
"Shackleton's Hut","Antartica","Antartica","Be a Polar Explorer","Historical Site","Man-made"
"Icehotel","Sweden","Europe","A Magical Sub-zero Sleepover","Adventure/Activity","Man-made"
"Moraine Lake","Canada","North America","More than a 20 dollar View","Water Feature","Natural"
"Roman Baths ","England","Europe","Awash with Beauty","Historical Site","Man-made"
"Chobe National Park","Botswana","Africa","Kingdom of Elephants","Wildlife","Natural"
"Inle Lake","Myanmar","Asia","Burma's Living Lake","Water Feature","Natural"
"Mt Kinabalu","Malaysia","Asia","Malaysia's Magnificent Mountain","Geological Feature","Natural"
"Phong Nha-Ke Bang National Park","Vietnam","Asia",""Jungles"," War-Relics & World's Biggest Cave"","Geological Feature","Natural"
"Royal Mile","Scotland","Europe","Edinburgh's Storied Spine","District/Square","Man-made"
"National Mall","USA","North America","America's Front Yard","Adventure/Activity","Man-made"
"Cristo Redentor","Brazil","South America","The Lord on High","Modern Attractions","Man-made"
"Prague Castle","Czech Republic","Europe","Look in on King Wencelas","Palace/Castle","Man-made"
"Ghana Slave Forts","Ghana","Africa","Sobering Slave-trade History","Palace/Castle","Man-made"
"Brussel's Grand Place","Belgium","Europe","Gothic Guildhall Grandeur","Palace/Castle","Man-made"
"Kinkaku-ji","Japan","Asia","The Golden Jewel of Japan","Religion","Man-made"
"Gullfoss","Iceland","Europe","Thunderous Falls","Water Feature","Natural"
"Rocky Mountain National Park","USA","North America","Get Rocky Mountain Higher","Geological Feature","Natural"
"Egyptian Musuem","Egypt","Africa","Egyptology's Treasure Trove","Musuem","Man-made"
"Gorge de Verdon","France","Europe","Europe's Grand Canyon","Geological Feature","Natural"
"Amber Fort","India","Asia","Rajasthan in a Fortress","Palace/Castle","Man-made"
"Snowdonia","Wales","Europe","Wale's Legendary Mountains","Geological Feature","Natural"
"Valcanoes National Park","Rwanda","Africa","Gorillas in the Mist","Wildlife","Natural"
"Xochimilco","Mexico","North America",""Venice"," Mexican Style"","Water Feature","Man-made"
"Glencoe","Scotland","Europe","Monarch of the Glens","Nature Landscape","Natural"
"Mont Blanc","France","Europe","Dancing with La Dame Blanche","Geological Feature","Natural"
"Karnak","Egypt","Africa","A Sacred Site on Steroids","Historical Site","Man-made"
"Gardens by the Bay","Singapore","Asia","The Botanic Garden of the Future","Modern Attractions","Man-made"
"iSimangaliso Wetland Park","South Africa","Africa","Africa's Waterlogged Wonderland","Wildlife","Natural"
"York Minister","England","Europe","Fairy Tale of Old York","Religion","Man-made"
"Van Gogh Musuem","Netherlands","Europe","Trace the Totured Artist's Life","Musuem","Man-made"
"Sigiriya Rock","Sri Lanka","Asia","Sri Lanka's Rock Star","Geological Feature","Natural"
"Meenakshi Amman Temple","India","Asia",""Meet 10","000 gods"","Religion","Man-made"
"Tbilisi Old Town","Georgia","Europe","The Heart of Eurasia","District/Square","Man-made"
"Changdeokgung Palace","South Korea","Asia","Seoul's Most Regal Residence","Palace/Castle","Man-made"
"Korea's DMZ","North Korea/South Korea","Asia","The Most Dangerous Place on Earth?","Adventure/Activity","Man-made"
"Bodhnath Stupa","Nepal","Asia","Where Life in Kathmandu Revolves","Religion","Man-made"
"Rynek Glowny","Poland","Europe","Trumpeter of Krakow","District/Square","Man-made"
"Mogao Caves","China","Asia","Rugged Romance of the Silk Road","Religion","Man-made"
"Vat Phou","Laos","Asia","Lao's Answer to Angkor","Religion","Man-made"
"Island of Goree","Senegal","Africa","Memory Island","Historical Site","Man-made"
"Mont St-Michel","France","Europe","An Ancient Pilgrimage","Religion","Man-made"
"Blue Mountains National Park","Australia","Oceania","Hazy Aussie Mountains","Geological Feature","Natural"
"Mozambique Island","Mozambique","Africa","Vigrant Ghost Town","Water Feature","Natural"
"Erg Chebbi Dunes","Morocco","Africa","The Sahara's Stunning Crest","Nature Landscape","Natural"
"Historic Centre of San Gimignano","Italy","Europe","Italy's First Skyscrapers","Modern Attractions","Man-made"
"Vasamuseet","Sweden","Europe",""Swedish Glory"," Sunk and Salvaged"","Historical Site","Man-made"
"Portmeirion","Wales","Europe","Enter the Potty World of the Prisoner","District/Square","Man-made"
"Times Square","USA","North America","See New York's Bright Lights","District/Square","Man-made"
"Bacuit Archipelago","Phillippines","Asia","Pick a Paradise Island...","Water Feature","Natural"
"Robben Island","South Africa","Africa","Walk in Mandela's Footsteps","Historical Site","Man-made"
"Borgarfjordur Eystri & Seydisfjordur","Iceland","Europe","Fjordtastic","Nature Landscape","Natural"
"Sossusvlei","Namibia","Africa","Mountains of Sculptured Sand","Nature Landscape","Natural"
"Wieliczka Salt Mine","Poland","Europe","Vault of Salt","Historical Site","Man-made"
"Parque Nacional Nahuel Huapi","Argentina","South America","Pretty Alpine Crowd-Pleaser","Nature Landscape","Natural"
"Jellyfish Lake","Palau","Oceania","Marine Miracle","Wildlife","Natural"
"Vigelandsparken","Norway","Europe","Sculpture in the Buff","Musuem","Man-made"
"Summer Palace","China","Asia","Imperial China's Summer Retreat","Palace/Castle","Man-made"
"Old Quebec City","Canada","North America","The New World's Eldery Exception","District/Square","Man-made"
"Canterburt Cathedral","England","Europe","Church of England's Historic Home","Religion","Man-made"
"Carthage","Tunisia","Africa","Africa's Ancient Punic Capital","Historical Site","Man-made"
"Reichstag","Germany","Europe","Teutonic Shapeshifter","Historical Site","Man-made"
"Virupaksha Temple","India","Asia","Ancient Sacred Skyscraper","Religion","Man-made"
"Malecon","Cuba","North America","Havana's Iconic Seaside Strip","District/Square","Man-made"
"Bru na Boinne","Ireland","Europe","Mystical Prehistoric Tombs","Historical Site","Man-made"
"Museo del Prado","Spain","Europe","Madrid's Home of Masterpieces","Musuem","Man-made"
"Lago de Atitlan","Guatemala","North America","The Heart of Guatemalan Highlands","Water Feature","Natural"
"Gunung Leuser National Park","Indonesia","Asia","Orang-utan Fantasy Jungle","Wildlife","Natural"
"Alcatraz","USA","North America","Legendary Gangster Prison","Historical Site","Man-made"
"Piazza Del Campo","Italy","Europe","Medieval Stage for a Wild Race","District/Square","Man-made"
"Postojna Cave & Predjama Castle","Slovenia","Europe","Cave & Castle Combo","Palace/Castle","Man-made"
"Rila Monastery ","Bulgaria","Europe","Heavenly Highland Haven","Religion","Man-made"
"Bund","China","Asia","Historic City Promenade","Historical Site","Man-made"
"Rijksmuseum","Netherlands","Europe","Netherland's Treasure Chest","Musuem","Man-made"
"Pont du Gard","France","Europe","Pastoral Roman Engineering Marvel","Historical Site","Man-made"
"Real Alcazar","Spain","Europe","Andalusian Architectual Perfection","Palace/Castle","Man-made"
"Singapore Zoo","Singapore","Asia","Where Wild Things Roam","Wildlife","Man-made"
"Wadi Rum","Jordan","Asia","Jordan's Majestic Desert-scape","Nature Landscape","Natural"
"Luxor Temple","Egypt","Africa","Abode of Ancient Gods","Religion","Man-made"
